"Num_Acc";"senc";"catv";"occutc";"obs";"obsm";"choc";"manv";"an";"mois";"jour";"hrmn";"Jour_semaine";"lum";"agg";"atm";"adr";"long";"lat";"dep"
200500007987;0;7;0;0;0;2;15;2005;2;7;1700;"Lundi";1;2;1;"19, VILLEMANDEUR (RUE DE";"";NA;450
200500007987;0;2;0;0;2;1;2;2005;2;7;1700;"Lundi";1;2;1;"19, VILLEMANDEUR (RUE DE";"";NA;450
200500007988;0;7;0;0;2;7;15;2005;2;26;1900;"Samedi";3;2;1;"33, VIMORY (RUE DE)";"";NA;450
200500007988;0;5;0;0;2;1;5;2005;2;26;1900;"Samedi";3;2;1;"33, VIMORY (RUE DE)";"";NA;450
200500007989;0;7;0;0;1;2;16;2005;2;3;1530;"Jeudi";1;2;1;"2, COMMANDANT ARAGO (RUE";"";NA;450
200500007990;0;7;0;0;2;8;0;2005;2;6;1410;"Dimanche";1;2;1;"57, MARTIN (BOULEVARD AL";"";NA;450
200500007990;0;7;0;0;2;1;0;2005;2;6;1410;"Dimanche";1;2;1;"57, MARTIN (BOULEVARD AL";"";NA;450
200500007991;0;7;0;0;2;7;19;2005;2;6;1140;"Dimanche";1;2;2;"59, BERTHELOT (RUE MARCE";"";NA;450
200500007991;0;7;0;0;2;1;1;2005;2;6;1140;"Dimanche";1;2;2;"59, BERTHELOT (RUE MARCE";"";NA;450
200500007992;0;2;0;0;1;1;1;2005;2;4;1915;"Vendredi";5;2;1;"38, DE GAULLE (RUE DU GE";"";NA;450
200500007993;0;7;0;6;0;2;13;2005;2;6;630;"Dimanche";5;2;1;"29, DESSAUX (RUE ANDRE D";"";NA;450
200500007994;0;5;0;4;2;5;21;2005;2;8;1850;"Mardi";3;2;1;"01, SECRETAIN (AVENUE RO";"";NA;450
200500007994;0;5;0;0;2;2;21;2005;2;8;1850;"Mardi";3;2;1;"01, SECRETAIN (AVENUE RO";"";NA;450
200500007994;0;7;0;0;2;6;23;2005;2;8;1850;"Mardi";3;2;1;"01, SECRETAIN (AVENUE RO";"";NA;450
200500007994;0;7;0;0;2;5;23;2005;2;8;1850;"Mardi";3;2;1;"01, SECRETAIN (AVENUE RO";"";NA;450
200500007994;0;7;0;0;2;4;23;2005;2;8;1850;"Mardi";3;2;1;"01, SECRETAIN (AVENUE RO";"";NA;450
200500007995;0;7;0;0;2;3;15;2005;2;9;1855;"Mercredi";5;2;1;"76, CHAFFAULTS (RUE DES";"";NA;450
200500007995;0;2;0;0;2;8;1;2005;2;9;1855;"Mercredi";5;2;1;"76, CHAFFAULTS (RUE DES";"";NA;450
200500007996;0;7;0;0;0;1;0;2005;2;9;210;"Mercredi";5;2;1;"SOLOGNE (AVENUE DE)";"";NA;450
200500007997;0;7;0;2;0;1;0;2005;2;11;55;"Vendredi";5;2;8;", SECRETAIN (AVENUE ROGE";"";NA;450
200500007998;0;14;0;0;2;1;1;2005;2;11;910;"Vendredi";1;2;2;"22, NATIONALE/R .";"";NA;450
200500007998;0;7;0;0;2;4;23;2005;2;11;910;"Vendredi";1;2;2;"22, NATIONALE/R .";"";NA;450
200500007998;0;7;0;0;2;2;23;2005;2;11;910;"Vendredi";1;2;2;"22, NATIONALE/R .";"";NA;450
200500007999;0;5;0;14;0;1;2;2005;2;12;1635;"Samedi";1;2;1;"SECRETAIN (AVENUE ROGER)";"";NA;450
200500008000;0;7;0;0;2;2;2;2005;2;12;1000;"Samedi";1;2;2;"DE GAULLE (AVENUE CHARLE";"";NA;450
200500008000;0;7;0;0;0;5;23;2005;2;12;1000;"Samedi";1;2;2;"DE GAULLE (AVENUE CHARLE";"";NA;450
200500008001;0;7;0;0;2;1;2;2005;2;14;925;"Lundi";1;2;1;"2733, SANDILLON (ROUTE D";"";NA;450
200500008001;0;13;0;0;0;3;23;2005;2;14;925;"Lundi";1;2;1;"2733, SANDILLON (ROUTE D";"";NA;450
200500008002;0;10;0;0;2;1;14;2005;2;15;1045;"Mardi";1;2;2;"01, ROUTE NATIONALE 20";"";NA;450
200500008002;0;7;0;0;2;4;23;2005;2;15;1045;"Mardi";1;2;2;"01, ROUTE NATIONALE 20";"";NA;450
200500008002;0;7;0;0;2;4;23;2005;2;15;1045;"Mardi";1;2;2;"01, ROUTE NATIONALE 20";"";NA;450
200500008002;0;7;0;0;0;4;23;2005;2;15;1045;"Mardi";1;2;2;"01, ROUTE NATIONALE 20";"";NA;450
200500008003;0;4;0;0;0;2;2;2005;2;15;1435;"Mardi";1;2;1;"26, ROCHEPLATTE (BOULEVA";"";NA;450
200500008004;0;7;0;15;0;1;14;2005;2;16;2005;"Mercredi";5;2;1;"10, CLOS DU RENARD (RUE";"";NA;450
200500008005;0;7;0;0;1;8;2;2005;2;17;1415;"Jeudi";1;2;1;"124, FAUBOURG BANNIER (R";"";NA;450
200500008006;0;1;0;0;2;1;12;2005;2;19;1640;"Samedi";1;2;1;"LOUP PENDU (RUE DU LOUP";"";NA;450
200500008006;0;7;0;0;0;3;1;2005;2;19;1640;"Samedi";1;2;1;"LOUP PENDU (RUE DU LOUP";"";NA;450
200500008007;0;7;0;0;2;1;2;2005;2;22;1240;"Mardi";1;2;4;"264, FAUBOURG BANNIER (R";"";NA;450
