"Num_Acc";"grav0";"grav1";"grav2";"grav3"
"200600005711";"1";"0";"1";"0"
"200600005712";"0";"0";"2";"0"
"200600005713";"0";"0";"0";"1"
"200600005714";"2";"1";"1";"0"
"200600005715";"1";"0";"1";"0"
"200600005716";"1";"1";"1";"0"
"200600005717";"1";"0";"2";"0"
"200600005718";"0";"0";"0";"1"
"200600005719";"0";"0";"2";"0"
"200600005720";"1";"0";"1";"0"
"200600005721";"0";"0";"0";"1"
"200600005722";"1";"0";"1";"0"
"200600005723";"0";"0";"1";"0"
"200600005724";"2";"1";"0";"0"
"200600005725";"1";"2";"1";"0"
"200600005726";"0";"1";"1";"0"
"200600005727";"0";"2";"0";"0"
"200600005860";"1";"0";"1";"0"
"200600005861";"2";"1";"1";"0"
"200600005862";"0";"0";"1";"0"
"200600005990";"0";"1";"0";"0"
"200600006875";"6";"3";"0";"0"
"200600007152";"0";"1";"0";"0"
"200600007153";"0";"0";"1";"0"
"200600007154";"2";"0";"1";"0"
"200600007155";"4";"0";"1";"0"
"200600007156";"3";"0";"2";"0"
"200600007157";"0";"1";"1";"0"
