"Num_Acc";"cat1";"cat2";"cat3";"cat4";"cat5";"cat6"
"200500042817";"0";"0";"1";"0";"0";"0"
"200500042818";"0";"0";"1";"0";"0";"0"
"200500042819";"0";"0";"2";"0";"0";"0"
"200500042820";"0";"0";"1";"0";"0";"0"
"200500042821";"0";"0";"1";"0";"0";"0"
"200500042822";"0";"0";"1";"0";"0";"0"
"200500042823";"0";"0";"2";"0";"0";"0"
"200500042824";"0";"1";"1";"0";"0";"0"
"200500042825";"0";"0";"1";"0";"0";"0"
"200500042826";"0";"0";"2";"0";"0";"0"
"200500043023";"0";"0";"2";"0";"0";"0"
"200500043025";"0";"0";"1";"0";"0";"0"
"200500044931";"0";"0";"1";"0";"0";"0"
"200500044932";"0";"0";"1";"0";"0";"0"
"200500044933";"0";"0";"2";"0";"0";"0"
"200500044934";"0";"1";"1";"0";"0";"0"
"200500044935";"0";"0";"1";"0";"0";"0"
"200500044936";"0";"1";"1";"0";"0";"0"
"200500044937";"1";"0";"1";"0";"0";"0"
"200500044938";"0";"1";"0";"0";"0";"0"
"200500044939";"0";"0";"1";"0";"0";"0"
"200500044940";"0";"0";"1";"0";"0";"0"
"200500044941";"0";"0";"2";"0";"0";"0"
"200500044942";"0";"1";"1";"0";"0";"0"
"200500044943";"0";"0";"1";"0";"0";"0"
"200500044944";"0";"0";"2";"0";"0";"0"
"200500044945";"0";"0";"2";"0";"0";"0"
"200500044946";"1";"0";"1";"0";"0";"0"
"200500044947";"0";"0";"2";"0";"0";"0"
"200500044948";"1";"0";"1";"0";"0";"0"
"200500044949";"0";"0";"1";"0";"0";"0"
"200500044950";"0";"1";"1";"0";"0";"0"
"200500044951";"0";"0";"4";"0";"0";"0"
"200500044952";"1";"0";"1";"0";"0";"0"
"200500044953";"0";"0";"1";"0";"0";"0"
"200500044954";"0";"0";"2";"0";"0";"0"
"200500044955";"0";"0";"2";"0";"0";"0"
"200500049864";"0";"0";"0";"0";"0";"0"
"200500049865";"0";"0";"1";"0";"0";"0"
